target	rt.m	rt.sd	rt.n	zrt.m	zrt.sd	zrt.n	acy	acy.n	nbphon	puPhon	pld20	accd	fb	ff	ft
découche	1262.1445	183.08973	39	1.2629022628	0.8045442	39	0.893617	47	5	5	1.85	826	0.34000001	0.37	0.71
découdre	1201.2582	113.90422	44	0.9665957448	0.6356253	44	1	44	6	5	1.95	817	1.15	0.42	1.57
découlait	1176.2818	147.95266	42	0.7684920786	0.6778484	42	0.893617	47	6	6	1.95	720	1.01000001	0.01	1.02
découle	1141.2228	123.70161	44	0.592139811	0.8399928	44	0.9375	48	5	5	1.8	713	1.01000001	0.98	1.99
découpa	1084.7541	117.85165	42	0.3149227604	0.7291244	42	0.9767442	43	6	6	1.9	659	1.21999998	0.01	1.23
découpage	1177.474	151.11726	46	0.9366954474	0.8067485	46	1	47	7	7	1.9	909	1.61999999	0.47	2.09
découpais	1125.3614	110.35892	48	0.5902904841	0.4883813	48	1	48	6	6	2.05	713	0.07000001	0.08	0.15
découpant	1125.392	140.20491	43	0.5198847159	0.9157759	43	0.9583333	48	6	6	1.85	719	2.43	0.28	2.71
découpe	1240.8042	139.83435	49	1.1738946288	0.8011074	49	1	49	5	5	1.9	855	5.33	2.8	8.13
découper	1097.0022	188.58169	45	0.234065444	0.8404238	45	0.9791667	48	6	6	1.7	729	4.92999995	4.36	9.29
découragé	1107.5777	141.83333	45	0.3856081274	0.6352163	45	1	46	8	8	2.6	819	5.67999996	0.76	6.44
décourage	1243.4719	189.38128	45	1.0477519872	0.7681291	45	0.9215686	51	7	7	1.75	888	2.15999998	1.13	3.29
découvert	1167.8302	136.20553	48	0.8006027116	0.6554299	48	1	51	7	7	2.5	894	39.99000016	50.67	90.66
découvre	1147.3806	154.45153	48	0.5646716646	0.7764048	48	0.9795918	49	6	6	1.85	774	26.28000025	17.37	43.65
découvrez	1226.7219	253.14773	44	0.9775847777	0.9850657	44	0.9777778	45	7	7	2	748	0.46999998	2.26	2.73
découvrir	1217.4275	166.28474	42	1.0553797124	0.7830991	42	1	42	8	8	2.65	823	50.88000031	37.11	87.99
découvris	1133.9738	121.36161	46	0.6521411063	0.8407123	46	1	47	7	7	2.6	707	6.81999994	0.92	7.74
décrète	1158.1559	124.02354	42	0.7738427684	0.7721561	42	0.9361702	47	6	5	2.05	779	1.88999998	1.18	3.07
décrût	1171.0444	179.08531	32	0.6958250984	0.8973645	32	0.7272727	44	5	5	1.85	563	0.14	0	0.14
décréta	1197.036	174.7579	42	0.6549641469	0.6726385	42	0.9777778	45	7	7	2.7	738	3.10999998	0.11	3.22
décrétai	1148.6006	223.49809	47	0.5312471914	0.8615333	47	1	47	7	7	2.7	725	0.14	0	0.14
décrétais	1145.7655	121.48833	46	0.6524867865	0.7229687	46	0.96	50	7	7	2.7	756	0.07000001	0	0.07
décrasse	1236.6809	149.10517	35	1.2930954796	0.8831204	35	0.8541667	48	6	6	2	813	0.34000001	0.07	0.41
décret	1141.8473	132.54343	46	0.5376717793	0.9756759	46	0.9787234	47	5	5	1.9	604	6.42000008	3.54	9.96
décrire	1231.6576	141.78572	47	1.3811973131	0.7444468	47	0.9591837	49	6	6	1.85	868	13.50999992	11.01	24.52
décris	1110.546	167.55369	49	0.3896616566	0.8073882	49	0.9423077	52	5	5	1.7	577	1.56000003	2.46	4.02
décrite	1262.3239	207.26779	34	1.4933053813	1.0798269	34	0.8372093	43	6	6	1.9	830	1.83000003	0.84	2.67
décrivait	1235.8493	143.30579	40	1.0804182556	0.7970173	40	0.8913043	46	7	7	2.55	666	4.25999995	1.07	5.33
décrivant	1127.3507	158.848	37	0.4597894924	0.7315736	37	0.8043478	46	7	7	2.3	636	2.91000002	0.56	3.47
décrivez	1141.8732	179.4902	41	0.6506106984	0.8767245	41	0.9333333	45	7	7	1.9	715	0.34000001	2.56	2.9
décrivit	1235.4749	147.26727	41	1.0442452857	0.8849412	41	0.8723404	47	7	7	2.55	710	3.04000005	0.05	3.09
décroît	1160.0516	162.52639	46	0.8112226425	0.8278575	46	0.9791667	48	6	6	2	652	1.56000003	0.24	1.8
décroître	1167.8652	140.25938	46	0.7307529495	0.6176323	46	1	48	8	7	2.75	859	2.22999998	0.05	2.28
décrocha	1199.6938	179.76711	47	0.7240164151	0.7163591	47	1	47	7	7	2.55	809	5.46999999	0.05	5.52
décroche	1196.953	148.23982	42	0.8542678096	0.5958331	42	0.9545455	44	6	5	2.3	750	5.94999993	9.95	15.9
décrocher	1127.192	126.31135	46	0.571256027	0.8052297	46	0.9791667	48	7	7	1.85	763	7.90999992	6.02	13.93
décroiser	1323.7641	243.49764	37	1.5507387654	0.8697004	37	0.8333333	48	8	8	2.4	788	0.07000001	0.02	0.09
décrypter	1176.2325	136.80698	43	0.873353189	0.8375812	43	0.9347826	46	8	8	2.55	757	0.34000001	0.46	0.8
déculotté	1223.7812	118.18346	39	1.0529707502	0.7743738	39	0.9333333	45	8	8	2.6	778	0.40999999	0.07	0.48
dédaigne	1167.2559	149.62098	44	0.605655808	0.8930485	44	0.9361702	47	5	5	1.95	699	1.42000002	0.38	1.8
dédaigner	1054.6768	120.24035	42	-0.0311093134	0.7366051	42	0.9361702	47	6	4	2	604	1.49000002	0.41	1.9
