target	rt.m	rt.sd	rt.n	zrt.m	zrt.sd	zrt.n	acy	acy.n	nbphon	puPhon	pld20	accd	fb	ff	ft
tonalité	1085.4618	124.19195	45	0.2400122637	0.6356689	45	1	45	8	6	2.35	826	2.49999996	1.26	3.76
tondeuse	909.2841	168.60417	45	-1.0623236424	0.7038881	45	0.9782609	46	5	4	3.6	589	1.49000002	1.72	3.21
tondre	983.2036	174.35295	42	-0.5687921776	0.7474465	42	0.9772727	44	4	4	2.55	517	1.01000001	1.38	2.39
tondu	936.3297	166.78506	49	-0.9922930715	0.80102	49	0.98	50	4	4	2.65	456	3.10999998	0.79	3.9
tonique	910.6469	137.1859	50	-1.0268370554	0.668682	50	0.9803922	51	5	5	1.65	509	1.82000001	0.68	2.5
tonnant	1046.9259	218.9754	39	-0.0312141128	1.2377116	39	0.8163265	49	4	4	1.5	414	0.21	0.18	0.39
tonne	960.4988	201.43781	41	-0.6964363214	1.07675	41	0.84	50	3	3	1.35	462	3.51999995	5.72	9.24
tonnelle	1031.6556	127.63104	37	-0.1530585398	0.8088561	37	0.826087	46	5	5	1.8	585	2.83999996	0.61	3.45
tonnerre	960.6087	138.99236	45	-0.7022010306	0.760288	45	0.9375	48	5	5	1.9	634	18.64999979	10.9	29.55
tonus	965.1336	137.18524	46	-0.6143369539	0.7821884	46	1	46	5	4	1.9	616	0.61000001	0.34	0.95
top	939.1228	164.94503	48	-0.8359373054	0.865338	48	0.9803922	51	3	2	1	442	2.09	19.18	21.27
toquée	933.3827	136.91337	43	-0.8626112216	0.818095	43	1	44	4	4	1.4	455	0.34000001	0.66	1
torche	1022.6059	141.32867	47	-0.3140285381	0.791403	47	0.9791667	48	4	4	1.5	580	8.77999989	7.75	16.53
torcher	999.6129	188.46265	51	-0.4653188787	0.8985457	51	1	51	5	5	1.75	500	1.88999998	1.23	3.12
torchon	1002.1298	116.36113	45	-0.3818823717	0.5867514	45	1	45	5	5	2.55	583	7.23000009	2.95	10.18
tord	1001.6758	235.36209	40	-0.4728315963	1.2340108	40	0.8888889	45	3	2	1	407	4.79999995	2.08	6.88
tordaient	965.2655	179.517	42	-0.7132380953	0.8765195	42	0.9767442	43	5	5	1.8	484	1.88999998	0.17	2.06
tordant	972.9056	205.855	44	-0.6218756763	0.9262493	44	0.9565217	46	5	5	1.85	514	5.20000001	1.45	6.65
tordantes	1068.7372	187.11756	45	-0.0252635634	1.0772611	45	1	46	6	6	2.45	718	0.07000001	0.02	0.09
tordit	1024.3409	181.64016	49	-0.3166107714	0.8836583	49	0.98	50	5	5	1.8	550	2.63999997	0.01	2.65
tordre	994.783	219.4713	42	-0.507009402	0.9329129	42	0.9772727	44	5	5	1.75	547	5.26999999	2.77	8.04
tordu	933.4956	102.33543	47	-0.8038771157	0.6390929	47	0.9791667	48	5	5	1.75	502	8.64999993	6.94	15.59
torero	1139.6057	152.90915	43	0.5402674487	0.8221829	43	0.877551	49	6	4	2.6	627	1.34999999	0.94	2.29
torgnoles	1146.6487	178.5421	35	0.5628144689	1.0533941	35	0.8372093	43	6	4	2.75	678	0.61000001	0.17	0.78
tornade	914.2062	101.21524	44	-0.967986508	0.4991883	44	0.9777778	45	6	5	2.45	695	3.10999998	2.13	5.24
tornades	964.1822	103.06977	51	-0.6742207096	0.504034	51	1	51	6	5	2.45	704	1.01000001	0.52	1.53
torpeur	1056.6997	183.42521	36	0.0260223603	1.1651422	36	0.7826087	46	6	5	1.95	732	13.24000002	0.78	14.02
torpille	1026.1081	147.27726	43	-0.205091626	0.785165	43	0.9555556	45	6	6	2.15	610	0.75000001	2.66	3.41
torpilles	1039.1393	108.97974	45	-0.1608876251	0.6906161	45	0.9787234	47	6	6	2.15	624	1.07999998	3.17	4.25
torrent	1012.2943	157.3657	44	-0.3626091786	0.9679611	44	0.9166667	48	4	4	1.55	466	11.95999995	1.6	13.56
torride	985.9147	133.1813	44	-0.400329537	0.8048287	44	1	44	5	5	1.85	545	3.17999998	1.7	4.88
torsade	1057.0485	99.31479	48	0.0270821049	0.5956175	48	1	48	6	6	2.35	777	1.01000001	0	1.01
torse	1005.5875	167.1421	40	-0.4559733302	0.6396989	40	0.8888889	45	4	4	1.4	544	22.23000001	4.14	26.37
torsion	1072.9693	174.29429	45	0.041017243	0.9482484	45	0.9787234	47	6	6	2.8	566	2.22999998	0.36	2.59
tortille	1140.3658	191.3373	45	0.5015011621	0.8844109	45	0.9183673	49	6	6	1.75	682	1.95999999	0.77	2.73
tortiller	1023.6278	119.14558	44	-0.1153893836	0.6586822	44	0.9361702	47	7	7	1.8	671	1.82000001	0.76	2.58
tortue	984.1231	93.23646	42	-0.5378826572	0.5376452	42	1	42	5	5	1.85	530	4.99999999	4.58	9.58
tortues	1129.6529	188.39512	31	0.4671788143	0.9470314	31	0.7209302	43	5	5	1.85	526	1.74999998	1.43	3.18
tortueux	1107.0355	189.94604	40	0.2962588245	0.8883544	40	0.9111111	45	6	6	2.6	586	1.49000002	0.44	1.93
torturée	1027.0901	184.89527	44	-0.2977902511	0.8460215	44	0.9777778	45	7	7	2.35	601	1.95999999	1.62	3.58
torturait	1074.353	138.90927	48	0.1300000959	0.7066775	48	0.9795918	49	7	7	2.45	688	2.36000002	0.59	2.95
torture	1143.1751	166.92195	47	0.4695644899	0.8162858	47	0.9795918	49	6	6	1.8	695	13.91999989	14.26	28.18
torturer	1037.741	90.20186	46	-0.1491194251	0.5793778	46	1	46	7	7	2.35	640	3.78000004	8.28	12.06
total	956.4424	128.65497	44	-0.6535982605	0.7010356	44	1	44	5	5	1.95	621	25.87999973	12.95	38.83
totalité	1079.8426	143.09101	47	0.1647962502	0.8508766	47	1	47	8	8	2.25	747	9.25999998	3.11	12.37
toubib	1109.5462	217.73942	40	0.1363689806	0.9388203	40	0.8333333	48	5	4	2.65	613	11.35000007	5.71	17.06
toucha	905.2958	142.49727	47	-0.981800329	0.7169859	47	1	47	4	4	1.85	505	10.95000013	0.32	11.27
touchai	918.5164	208.67219	48	-1.0475138094	1.0187272	48	1	49	4	4	1.55	457	1.82000001	0.01	1.83
touchais	970.1208	166.75011	47	-0.6867216573	0.9988403	47	1	47	4	4	1.55	488	3.04000005	1.87	4.91
touchant	930.5635	134.1599	47	-0.9435518804	0.6343712	47	1	47	4	3	1.8	469	13.64999984	7.4	21.05
touchante	1032.0865	206.29356	44	-0.283266724	0.9349572	44	1	44	5	4	1.9	726	2.69999997	1.04	3.74
touche	1089.5893	140.59564	45	0.2056673613	0.7705188	45	1	45	3	3	1.1	685	38.91999976	103.26	142.18
touchera	941.2512	208.93312	48	-0.8470126482	1.0220956	48	1	48	5	6	3.7	526	1.34999999	4.35	5.7
toucherai	999.5077	223.70758	44	-0.5641770709	1.0963015	44	0.9787234	47	5	6	3.65	499	0.61000001	2.73	3.34
touchions	1040.7256	165.23753	40	-0.020583591	0.9181451	40	0.8695652	46	5	5	3	535	1.07999998	0.13	1.21
touchons	993.7347	142.94129	43	-0.5142878632	0.9940761	43	0.9555556	45	4	3	2.7	496	0.80999998	0.66	1.47
touffe	971.0334	143.44112	46	-0.5207408	0.9398456	46	0.9583333	48	3	3	1.05	358	6.69	1.6	8.29
touffu	969.1305	161.41198	47	-0.5964697996	0.9036666	47	0.9791667	48	4	4	1.8	500	1.49000002	0.42	1.91
touiller	913.2365	134.69894	45	-0.9769046158	0.862743	45	0.9782609	46	4	4	1.4	435	0.54	0.1	0.64
toujours	974.291	201.54746	41	-0.7227484377	1.0205145	41	1	42	5	3	2.15	680	1093.77998765	1072.36	2166.14
toupet	1056.0921	137.8273	40	0.1285968732	0.8294159	40	0.9111111	45	4	4	1.85	546	2.22999998	2.08	4.31
toupie	1049.5209	145.67998	37	-0.0113847721	0.9128486	37	0.8809524	42	4	4	1.75	511	3.04000005	1.5	4.54
tour	1005.2826	127.67917	43	-0.2667907353	0.8428006	43	0.9361702	47	3	3	1	599	280.26999794	175.56	455.83
tourisme	1100.3168	161.95991	45	0.2958114615	0.9700169	45	1	45	6	5	2.2	710	4.65999998	2.98	7.64
touriste	1052.7148	144.85653	47	-0.0992285383	0.8775552	47	0.9591837	49	6	6	1.95	666	6.28000001	4.05	10.33
tourment	998.657	144.44817	43	-0.3709090053	0.8114212	43	0.877551	49	5	5	1.85	449	5.41000001	2.94	8.35
tourmenta	1138.999	175.07747	42	0.5030995759	0.8639434	42	0.9772727	44	7	7	2.5	760	0.40999999	0.01	0.42
tourmenté	1082.4183	156.4902	48	0.1975315133	0.8789125	48	1	48	7	7	2.5	742	5.88000003	2.79	8.67
tourmente	1105.8816	161.1596	49	0.2528343914	0.8305738	49	1	49	6	6	2.1	691	4.45999997	4.69	9.15
tourna	996.4111	207.5591	48	-0.5466540098	1.0734018	48	1	48	5	5	1.7	494	58.72000013	0.43	59.15
tournage	1112.9418	131.46202	47	0.4642297375	0.7860129	47	1	48	6	6	2	770	2.36000002	15.75	18.11
tournai	1001.2563	209.93542	46	-0.4944869727	0.8659875	46	0.9787234	47	5	5	1.65	514	5.06999998	0.14	5.21
tournais	1023.7709	197.26883	46	-0.3415277581	0.8870163	46	0.9583333	48	5	5	1.65	527	3.58000002	1.23	4.81
tournant	1007.1863	217.51307	43	-0.4525529268	1.1276986	43	0.9565217	46	5	5	1.8	459	55.26000028	5.59	60.85
tournante	989.0054	167.89358	47	-0.4327393661	0.8832061	47	1	47	6	6	1.9	678	1.34999999	0.59	1.94
tourne	939.6386	139.5525	46	-0.8924624178	0.6766369	46	0.9787234	47	4	4	1.55	510	61.35000031	83.77	145.12
tournera	1135.3753	170.4128	37	0.3349393592	0.7782994	37	0.8723404	47	7	7	3.7	634	0.67999999	1.71	2.39
tournesol	1054.4228	164.65409	46	-0.0661760683	0.6865012	46	1	47	8	6	4.5	782	0.61000001	0.86	1.47
tournevis	1003.8475	141.58879	52	-0.2424204693	0.796094	52	1	52	8	6	4.45	803	3.24000003	3.46	6.7
tournions	1129.5731	131.30665	39	0.6076428021	0.9757952	39	0.8863636	44	6	5	2.95	606	0.67999999	0.06	0.74
tournis	1035.9906	172.31461	43	-0.2703578106	0.9003811	43	0.9347826	46	5	5	1.75	479	1.61999999	0.58	2.2
tournoi	1067.9397	181.80071	47	-0.0578589362	0.8645136	47	0.9791667	48	6	6	1.95	541	2.15999998	5.84	8
tournons	1074.067	157.13053	42	0.2713397378	0.944332	42	0.9565217	46	5	5	2.45	551	1.82000001	1.88	3.7
tournoyer	1124.5148	225.19639	44	0.2585681224	0.959443	44	0.9565217	46	8	8	2.65	692	3.64999997	0.27	3.92
tournure	1090.4372	151.63431	45	0.164700041	0.7364642	45	0.9782609	46	6	5	2.15	787	6.42000008	2.82	9.24
tourte	996.6779	157.02342	44	-0.4899604158	0.8754321	44	0.9565217	46	4	4	1.6	500	0.54	1.03	1.57
tous	995.4611	229.06063	41	-0.6044632247	0.8554992	41	0.8913043	46	3	3	1.05	277	1155.27000585	1287.03	2442.3
toussa	1042.1003	208.86115	30	-0.3756228833	0.9696393	30	0.6888889	45	4	3	1.75	463	5.34000003	0	5.34
toussait	969.8895	182.38356	51	-0.668687181	0.8697732	51	1	51	4	3	1.5	455	3.64999997	0.35	4
tousse	976.9996	207.43916	47	-0.6608237312	1.002487	47	0.9795918	49	3	3	1.05	441	4.72999997	4.89	9.62
tousser	949.1562	173.71699	43	-0.860966704	0.9434713	43	0.9777778	45	4	4	1.45	442	5.80999997	1.84	7.65
toute	957.4174	167.37768	46	-0.7091480858	0.9429852	46	1	47	3	3	1	490	802.30000562	568.45	1370.75
toutefois	929.579	133.5469	46	-0.8713555826	0.637141	46	1	46	6	4	4.25	556	35.46999972	5.37	40.84
toutou	1059.5666	137.70576	40	0.1735229925	0.928422	40	0.8333333	48	4	4	1.8	484	1.55	5.65	7.2
toxines	1005.2565	105.81426	45	-0.3614355997	0.6731235	45	0.9782609	46	6	6	2.35	712	0.07000001	1.39	1.46
toxique	972.7488	110.62666	46	-0.5162668961	0.6948711	46	1	46	6	6	2.2	657	0.34000001	3.03	3.37
trèfle	1194.1503	141.91468	46	0.7976156658	0.7890002	46	0.9387755	49	5	3	2	722	4.19000003	2.75	6.94
trônais	1104.0922	233.0096	35	0.1803199391	0.9759242	35	0.7954545	44	5	5	1.8	524	0.07000001	0	0.07
trône	1008.1093	94.24623	48	-0.3459524526	0.4705653	48	1	48	4	4	1.7	575	13.10999988	14.07	27.18
trôner	999.1998	112.99008	38	-0.3477317083	0.6601191	38	0.8863636	44	5	5	1.5	513	0.34000001	0.03	0.37
trébucha	1052.3088	199.30488	47	-0.1004324307	0.8058177	47	1	47	7	7	2.75	696	1.82000001	0.01	1.83
trébuche	1011.6471	131.20284	44	-0.427952255	0.7560884	44	0.9782609	46	6	6	2.5	623	1.82000001	0.88	2.7
trébucher	1031.3767	234.7015	50	-0.3037669269	1.0343467	50	0.9803922	51	7	7	2.7	632	1.88999998	1.14	3.03
trépaner	1092.2491	180.26579	31	0.1244813406	1.1207232	31	0.6956522	46	7	7	2.5	625	0.34000001	0.03	0.37
trépas	1002.5107	162.5773	30	-0.3480515128	0.8615933	30	0.6956522	46	5	5	1.85	480	1.55	0.38	1.93
trépidant	1116.5464	182.83211	40	0.4201592482	0.7235244	40	0.8510638	47	7	7	2.4	638	0.48000002	0.03	0.51
trépied	1038.8717	169.51688	41	-0.2031192312	0.8179879	41	0.9767442	43	6	5	1.9	577	2.3	1.14	3.44
trépigne	1164.1023	200.5405	46	0.6405095993	0.7992142	46	0.92	50	6	6	2.15	723	0.74000001	0.06	0.8
trépigner	1122.049	169.14739	47	0.5303669157	0.8598399	47	0.9791667	48	7	7	2.45	744	0.80999998	0.02	0.83
trésor	1008.5651	196.85236	45	-0.3823879182	0.8891704	45	1	45	6	6	2.75	702	20.13999986	44.86	65
trésorier	1098.1853	144.48901	46	0.3248164367	0.8290638	46	1	47	8	8	3.25	714	1.61999999	1.55	3.17
tréteaux	1122.2344	169.05326	42	0.4221147901	0.8552155	42	0.9333333	45	5	3	1.95	578	3.17999998	0.27	3.45
traça	1017.9947	170.13073	47	-0.3795290536	0.6668262	47	1	47	5	5	1.8	551	2.36000002	0	2.36
traçaient	1001.7123	144.27987	48	-0.3508185225	0.7445083	48	1	48	5	5	1.8	575	1.82000001	0.02	1.84
traçant	1063.5044	194.93475	44	0.1067223247	0.9365873	44	0.9565217	46	5	5	1.8	610	2.3	0.15	2.45
traîna	928.703	167.53491	51	-0.821776571	0.7614202	51	1	51	5	5	1.7	468	4.05000002	0.05	4.1
traînai	992.4254	157.64554	47	-0.4539302306	0.9153728	47	0.9791667	48	5	3	1.75	473	1.07999998	0.01	1.09
traînais	963.6559	177.61619	49	-0.7013783678	0.9369435	49	1	49	5	3	1.75	465	2.15999998	1.94	4.1
traînant	986.9545	204.12278	45	-0.5020082619	1.0769872	45	0.9574468	47	5	5	1.75	474	16.22000011	1.45	17.67
traînante	1065.852	177.41262	49	0.0479857967	0.9380516	49	0.9803922	51	6	6	2.3	696	1.95999999	0	1.96
traîne	949.4238	190.29388	43	-0.9212007565	0.9164067	43	0.9772727	44	4	4	1	456	20.94999977	16.88	37.83
traîneau	1050.1987	170.22092	43	-0.0751859436	0.9812418	43	0.9555556	45	5	5	1.85	456	3.44999999	2.27	5.72
traîner	954.3083	199.63726	47	-0.7078668312	1.0217558	47	0.9591837	49	5	3	1.6	493	28.03999986	21.48	49.52
traître	1093.6907	135.75226	41	0.0157740906	0.6606642	41	1	41	5	5	1.65	629	10.81000006	22.21	33.02
traîtrise	1071.2547	138.79256	39	0.0915642074	0.8135954	39	0.8913043	46	7	5	2.8	694	1.82000001	1.27	3.09
trêve	988.4489	117.66488	46	-0.4617877306	0.6820948	46	0.9387755	49	4	4	1.3	540	11.15000006	6.68	17.83
trac	1032.5917	190.52732	42	-0.1792330686	1.0706061	42	0.9148936	47	4	4	1	503	8.23999997	4.91	13.15
tracas	1103.4376	211.0068	41	0.1622830444	1.0494336	41	0.893617	47	5	5	1.7	607	4.45999997	1.43	5.89
tracasse	1289.4019	212.66197	38	1.3641264941	1.0636507	38	0.9130435	46	6	6	1.8	831	1.75999999	7.15	8.91
tracasser	1055.7282	142.88152	46	-0.0458617749	0.8262036	46	0.9583333	48	7	7	1.9	689	0.67999999	0.56	1.24
trace	955.4921	133.46438	44	-0.7478451956	0.681992	44	0.9565217	46	4	4	1.15	553	44.85999996	31.99	76.85
tracer	1022.3715	209.86395	46	-0.4224988162	0.771252	46	1	47	5	5	1.3	572	7.23000009	2.08	9.31
traceur	1138.4974	199.2959	42	0.4845437039	0.9619719	42	0.9574468	47	6	5	1.8	845	0	0.59	0.59
trachée	1043.1624	132.41632	34	-0.0619154077	0.7586299	34	0.8043478	46	5	4	1.4	569	0.34000001	0.97	1.31
tract	1090.8172	180.15289	43	0.1891090401	1.0129064	43	0.9555556	45	5	5	1.6	660	2.49999996	0.41	2.91
tracté	1041.3559	223.21903	50	-0.1202859826	1.210358	50	1	50	6	6	1.9	536	0.21	0.06	0.27
tracteur	1009.1131	117.28181	43	-0.2714318004	0.6666604	43	1	44	7	6	1.9	707	5.61000001	3.44	9.05
traction	1119.3873	203.34151	47	0.321763624	0.8316833	47	0.9795918	49	7	7	2.8	614	7.42999991	1.06	8.49
tradition	1024.4566	176.67126	47	-0.2022404192	1.0234206	47	1	48	8	8	3.45	669	23.37999993	15.68	39.06
traduire	963.3686	88.21191	45	-0.553770915	0.4758896	45	1	45	7	7	2.8	669	11.01000007	5.27	16.28
traduis	984.2963	143.99146	48	-0.6351934046	0.7875755	48	1	49	6	6	2.45	517	1.21999998	2.17	3.39
traduisez	1105.4289	191.20276	45	0.3846126455	0.928292	45	0.9787234	47	8	8	3.35	778	0.20000001	0.99	1.19
traduisit	1095.1673	130.30656	37	0.18116887	0.6797575	37	0.9285714	42	8	8	3.75	723	1.69	0.01	1.7
trafic	1011.5758	158.38721	42	-0.3714514262	0.9620099	42	1	43	6	6	1.8	703	8.64999993	13.24	21.89
trafiquer	1102.5662	222.3698	46	0.1443858871	0.8794555	46	1	46	7	7	2.35	701	1.01000001	1.08	2.09
tragédie	1041.81	178.63344	45	-0.2660449707	0.7391758	45	0.9787234	47	7	7	2.95	639	10.87999998	14.23	25.11
tragique	989.1098	118.07213	50	-0.4599787323	0.8370191	50	1	50	6	6	1.95	682	21.9599998	12.23	34.19
trahi	907.7306	124.22931	47	-1.0087527585	0.7667444	47	1	47	4	4	1.55	454	9.32999996	17.19	26.52
trahir	901.5251	99.95862	51	-1.0813019598	0.5473813	51	1	51	5	5	1.95	685	11.01000007	10.16	21.17
trahira	994.7923	156.77201	47	-0.4747707937	1.0431613	47	1	47	6	6	2.55	595	0.34000001	1.38	1.72
trahirai	949.3714	191.72758	43	-0.756618764	0.9691986	43	1	43	6	6	2.45	509	0.07000001	0.97	1.04
trahison	957.3019	141.12143	49	-0.6335467387	0.6768104	49	1	49	6	5	3.05	691	15.26999989	16.74	32.01
trahissez	1117.3486	213.35624	37	0.3146361138	0.9433444	37	0.8809524	42	6	6	1.85	578	0.27	1.07	1.34
train	1007.9621	187.80502	44	-0.3733860331	1.0858229	44	0.9183673	49	3	3	1	400	271.27999879	244.4	515.68
traire	903.5889	108.43329	46	-0.9692897023	0.6089607	46	0.9791667	48	4	4	1.05	503	1.82000001	1.8	3.62
trait	986.2774	207.41095	40	-0.5511198439	1.0508067	40	0.9347826	46	3	3	1	325	40.40999995	9.24	49.65
traita	1073.3827	198.6539	44	-0.076049265	1.1189629	44	0.9166667	48	5	5	1.8	527	2.43	0.38	2.81
traitable	1163.2283	180.77037	38	0.8091229742	1.0056387	38	0.8913043	46	7	6	2.55	721	0.07000001	0.05	0.12
traitait	1027.1596	178.70668	44	-0.2385838639	0.8675403	44	0.9782609	46	5	5	1.85	543	10.33999988	2.74	13.08
traitant	1000.4874	152.75087	41	-0.4907779689	0.7416656	41	0.9534884	43	5	5	1.85	493	3.44999999	1.63	5.08
traite	1059.9326	140.81062	44	0.078488384	0.8109078	44	0.9583333	48	4	4	1	567	14.53000015	27.4	41.93
traiter	881.8676	184.66798	48	-1.2890026838	0.9428619	48	0.9795918	49	5	3	1.6	456	20.27	25.23	45.5
traiteur	993.6441	153.81686	48	-0.4217294995	0.7980297	48	0.9795918	49	6	5	1.65	700	1.34999999	3.45	4.8
traitons	1070.5679	173.88897	48	0.0459991062	1.0633983	48	0.9230769	52	5	5	2.65	511	0.14	1.16	1.3
trajet	999.9505	158.44427	46	-0.4684555457	0.8135848	46	0.96	50	5	5	1.95	559	14.66000008	7.23	21.89
tram	982.1095	194.99123	47	-0.4936582168	0.8943528	47	1	47	4	4	1.5	543	1.69	5.51	7.2
tramway	1000.404	154.89384	42	-0.4347969808	0.871784	42	0.875	48	6	5	2.65	464	5.54000003	0.17	5.71
trancha	998.6706	157.39975	47	-0.4226586794	0.8191737	47	0.9591837	49	5	5	1.75	600	4.39000006	0.02	4.41
tranchait	979.355	137.40687	47	-0.4565407924	0.704003	47	1	47	5	5	1.85	607	2.43	0.05	2.48
tranchant	972.5606	111.30691	47	-0.4868057073	0.8435856	47	1	47	5	5	1.85	564	8.17000009	2.4	10.57
tranche	1036.9871	212.263	45	-0.4230501427	1.0204373	45	0.9782609	46	4	4	1.4	507	14.59000017	8.09	22.68
trancher	931.4634	165.39314	48	-0.8059770396	0.9538398	48	0.9795918	49	5	5	1.55	539	5.06999998	3.88	8.95
trancheur	1140.2261	189.77217	35	0.4694118981	0.8306258	35	0.8409091	44	6	5	1.9	767	0	0.15	0.15
transcrit	1149.0384	188.49457	39	0.5579135192	0.7779694	39	0.9090909	44	7	7	2.7	677	0.61000001	0.24	0.85
transe	1027.7741	212.64567	33	-0.1480291638	0.9758927	33	0.6875	48	4	4	1.55	469	3.50999998	2.41	5.92
transféré	1037.698	90.3579	50	-0.0533298329	0.573064	50	1	50	8	8	2.75	740	2.09	6.51	8.6
transfert	1064.2645	128.51705	48	-0.0744239686	0.6325012	48	1	49	7	6	2.65	865	3.31	10.14	13.45
transi	1034.7187	145.35679	41	-0.017828747	0.8964116	41	0.9333333	45	5	5	1.9	507	3.31	0.51	3.82
transit	1038.1497	118.86438	49	-0.0412642052	0.6789097	49	1	50	6	6	2.15	729	2.97000003	1.83	4.8
transmet	1103.6457	193.70252	48	0.2209754825	0.7923532	48	1	48	6	6	2.55	595	2.09	3	5.09
transmis	1046.6505	167.73564	50	-0.1208500237	0.7688824	50	0.9803922	51	6	6	2.6	597	5.67999996	5.35	11.03
transmise	1098.2632	123.57256	49	0.2276681187	0.7798015	49	1	49	7	7	2.8	768	1.69	0.78	2.47
transpire	1084.9032	137.96361	43	0.1188974146	0.7498949	43	1	43	7	7	2.3	870	2.43	2.52	4.95
transport	1177.4726	157.17004	47	0.7348817917	0.8519639	47	1	48	7	7	2.7	849	14.11999996	13.06	27.18
trapèze	1058.7677	137.93344	49	0.1156722426	0.805933	49	1	50	6	5	2.35	730	3.04000005	1.1	4.14
trappe	967.3165	134.38416	46	-0.6586783688	0.5414552	46	1	46	4	4	1.05	540	5.41000001	4.86	10.27
trappeur	1119.3954	178.3147	40	0.4093608041	1.0079639	40	0.9090909	44	6	5	1.6	789	1.34999999	1	2.35
trappiste	1162.2868	198.92732	33	0.6005724367	0.9423576	33	0.7555556	45	7	5	2.35	764	0.27	0.05	0.32
trapu	1036.6576	135.91345	44	-0.229625081	0.7304291	44	0.9166667	48	5	5	1.9	503	4.86000005	0.39	5.25
traquait	992.6689	150.39554	46	-0.3942742573	0.6609374	46	0.9583333	48	5	5	1.55	580	1.21999998	0.59	1.81
traquer	1024.6562	199.35484	43	-0.2494596725	0.761762	43	0.9772727	44	5	5	1.05	556	1.95999999	3.04	5
traquerai	1193.0774	215.97056	34	0.9252752313	1.0320675	34	0.8095238	42	6	7	3.8	649	0	0.32	0.32
traqueur	1130.1997	187.51108	44	0.3832806832	0.9215833	44	1	47	6	5	1.7	773	0.34000001	0.49	0.83
traqueuse	1135.3557	163.47485	38	0.6665308247	1.1574037	38	0.8125	48	6	5	2.3	772	0.07000001	0	0.07
trauma	1078.991	184.81103	38	0.151721213	0.9621463	38	0.7916667	48	5	5	1.9	531	0.46999998	4.44	4.91
travail	1013.9734	178.87958	43	-0.3931886766	0.9340556	43	0.9555556	45	6	6	1.85	697	223.99000222	367.43	591.42
travailla	1009.719	144.44984	46	-0.3503942126	0.8336359	46	1	46	7	7	2.55	583	2.09	0.56	2.65
travaillé	967.0035	122.16079	43	-0.5578990694	0.7146994	43	0.9777778	45	7	7	2.2	654	20.68000011	50.51	71.19
travaux	991.1846	152.94941	44	-0.487280044	0.9553716	44	0.9777778	45	5	5	1.85	511	39.46000015	22.4	61.86
travelo	1138.2004	139.38796	47	0.5171594272	0.8915509	47	0.9591837	49	6	7	3.6	668	0.88	0.96	1.84
travers	1089.144	164.40224	45	0.243319577	0.9248851	45	0.9375	48	6	6	1.9	671	247.64000165	65.6	313.24
traversa	1135.549	164.7314	44	0.5758896002	0.8254257	44	0.9777778	45	8	8	2.35	704	25.00000012	0.63	25.63
traversai	1079.105	116.89259	46	0.1519879989	0.6890479	46	1	47	8	8	2.4	737	2.77	0.13	2.9
traverse	1092.5135	106.81159	45	0.2803223723	0.5964973	45	1	45	7	7	2.2	766	30.12999995	14.82	44.95
traversin	1224.5657	258.23876	38	0.9297474458	0.9289796	38	0.9130435	46	8	8	2.45	789	2.3	0.44	2.74
travesti	1112.0773	191.23802	46	0.3536163674	0.907158	46	1	47	8	8	2.95	740	2.03000001	1.91	3.94
treillis	980.0083	121.3265	38	-0.4600061816	0.8026124	38	0.8333333	48	5	3	1.95	421	4.11999999	0.45	4.57
treize	1213.4097	193.01187	38	0.9495889927	1.0329268	38	0.7916667	48	4	4	1.4	710	20.94999977	7	27.95
treizième	1108.253	176.10509	45	0.2067829934	0.7426535	45	0.9574468	47	7	5	2.8	722	1.61999999	0.44	2.06
trembla	1002.2333	151.09384	47	-0.3619746309	0.9526993	47	1	48	6	6	2.25	569	1.55	0.3	1.85
tremblais	957.9472	122.34668	45	-0.551776909	0.7204194	45	1	45	6	6	2.1	569	2.97000003	1.44	4.41
tremblant	1025.9454	147.30365	44	-0.2559214327	0.677039	44	0.9782609	46	6	6	2.05	553	11.42000012	2.02	13.44
tremble	1023.1839	134.54899	45	-0.084787144	0.7372351	45	0.9782609	46	5	5	1.85	674	15.60000007	12.08	27.68
trembler	956.2336	119.29108	49	-0.7406307376	0.5091178	49	1	49	6	6	1.85	519	21.9599998	6.37	28.33
tremblote	1143.8152	183.9429	46	0.4818004926	0.9772142	46	1	47	7	6	2.75	731	2.36999999	0.48	2.85
trempa	1034.8385	182.35413	44	-0.2312452592	0.9447564	44	0.9777778	45	5	5	1.8	542	1.82000001	0	1.82
trempait	1019.5654	150.68476	47	-0.1936823141	0.9266551	47	1	47	5	5	1.8	503	2.09	0.4	2.49
trempant	1072.3529	172.84294	39	0.0308130077	0.9826886	39	0.8297872	47	5	5	1.7	576	1.75999999	0.06	1.82
trempe	1061.5547	175.58951	47	0.0256153272	1.0516049	47	0.9591837	49	4	4	1.35	553	5.74000005	3.81	9.55
tremper	951.7181	171.15763	45	-0.6896246403	1.1096338	45	0.9782609	46	5	5	1.75	451	5.06999998	2.98	8.05
trempette	1153.217	124.76824	38	0.8478197767	0.7825524	38	0.8333333	48	6	6	1.8	764	0.40999999	0.95	1.36
tremplin	1104.5794	122.12602	37	0.2804928895	0.5549652	37	0.8809524	42	6	5	2.2	623	1.28000002	0.36	1.64
trentaine	1053.1202	127.27405	41	0.033188552	0.6995654	41	1	41	6	5	2.2	745	13.4500001	3.23	16.68
trente	1088.4209	144.92917	51	0.2184959357	0.8555456	51	1	51	4	4	1.65	554	84.19000034	19.7	103.89
